method,problem,verbose,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50
method_logging_w_check,CUBE,false,0.02221989631652832,0.02291393280029297,0.022082090377807617,0.022246122360229492,0.02449178695678711,0.024985074996948242,0.04071497917175293,0.022609949111938477,0.022552967071533203,0.02266716957092285,0.022537946701049805,0.024477005004882812,0.024793148040771484,0.02573108673095703,0.03707599639892578,0.02296900749206543,0.0223391056060791,0.022621870040893555,0.02342820167541504,0.0253908634185791,0.025587081909179688,0.038848876953125,0.023926973342895508,0.024012088775634766,0.02327895164489746,0.025106191635131836,0.025712013244628906,0.02639007568359375,0.03514695167541504,0.023102998733520508,0.023566007614135742,0.02295708656311035,0.023457050323486328,0.025787830352783203,0.025928974151611328,0.034857988357543945,0.022808074951171875,0.02288198471069336,0.02301812171936035,0.022697925567626953,0.02574300765991211,0.025532960891723633,0.03552508354187012,0.023407936096191406,0.022975921630859375,0.023373126983642578,0.022721052169799805,0.024949073791503906,0.02585601806640625,0.03606986999511719
method_logging_w_check,CUBE,true,0.2851269245147705,0.2842249870300293,0.26211094856262207,0.17000198364257812,0.2064220905303955,0.23192787170410156,0.2558310031890869,0.19742894172668457,0.2629060745239258,0.1817619800567627,0.25382280349731445,0.20825600624084473,0.2568190097808838,0.19829297065734863,0.21229314804077148,0.2191920280456543,0.2158210277557373,0.28327107429504395,0.19549083709716797,0.2096259593963623,0.2546238899230957,0.22919797897338867,0.2463219165802002,0.22803783416748047,0.25806689262390137,0.2263169288635254,0.22684097290039062,0.21192407608032227,0.22850704193115234,0.23883318901062012,0.34074902534484863,0.17256498336791992,0.31218791007995605,0.295989990234375,0.32759904861450195,0.24209094047546387,0.2930591106414795,0.27657508850097656,0.22924280166625977,0.24965977668762207,0.29738903045654297,0.23446893692016602,0.2424759864807129,0.23014187812805176,0.2668039798736572,0.25739598274230957,0.2266368865966797,0.21535015106201172,0.20796418190002441,0.17409205436706543
method_logging_w_check,ROSENBR,false,0.01400303840637207,0.022906064987182617,0.013962984085083008,0.014153003692626953,0.01388096809387207,0.013899087905883789,0.013862133026123047,0.013978004455566406,0.015037059783935547,0.015525102615356445,0.015568971633911133,0.015601873397827148,0.02593398094177246,0.013993024826049805,0.014182090759277344,0.014045000076293945,0.01400613784790039,0.014197111129760742,0.01414799690246582,0.014542102813720703,0.015504121780395508,0.015491008758544922,0.015547990798950195,0.015681028366088867,0.024280071258544922,0.014071226119995117,0.014227151870727539,0.014527082443237305,0.013905048370361328,0.013923883438110352,0.013881206512451172,0.015539884567260742,0.015532970428466797,0.015542984008789062,0.015540122985839844,0.024960994720458984,0.013947010040283203,0.014200925827026367,0.013975143432617188,0.013896942138671875,0.01392984390258789,0.014172792434692383,0.015370845794677734,0.01584911346435547,0.015713930130004883,0.015613079071044922,0.025607824325561523,0.013974905014038086,0.014213085174560547,0.014120101928710938
method_logging_w_check,ROSENBR,true,0.12826800346374512,0.20478010177612305,0.22390294075012207,0.23490500450134277,0.23271584510803223,0.4405550956726074,0.18874216079711914,0.20494389533996582,0.192763090133667,0.17040514945983887,0.17458391189575195,0.19973206520080566,0.192155122756958,0.1780400276184082,0.18186402320861816,0.23592686653137207,0.19599080085754395,0.1654658317565918,0.22034001350402832,0.1877908706665039,0.23099780082702637,0.15457987785339355,0.18313980102539062,0.20882892608642578,0.19630002975463867,0.22177696228027344,0.25051403045654297,0.36229801177978516,0.27324914932250977,0.22110605239868164,0.1793820858001709,0.14790701866149902,0.1850278377532959,0.18390297889709473,0.19682002067565918,0.15997099876403809,0.13051080703735352,0.21291399002075195,0.20409202575683594,0.17629098892211914,0.21590805053710938,0.1913142204284668,0.18684983253479004,0.1496438980102539,0.21174407005310059,0.18760395050048828,0.18857812881469727,0.17558002471923828,0.1789109706878662,0.1892859935760498
method_logging_w_check,HILBERTB,false,0.0001399517059326172,0.0001308917999267578,0.00012993812561035156,0.00012993812561035156,0.00012993812561035156,0.00013184547424316406,0.00012993812561035156,0.00013113021850585938,0.00013113021850585938,0.00013017654418945312,0.00013113021850585938,0.00012993812561035156,0.0001308917999267578,0.0001308917999267578,0.00012993812561035156,0.00013113021850585938,0.00013017654418945312,0.00012993812561035156,0.0001308917999267578,0.00012993812561035156,0.0001308917999267578,0.00017881393432617188,0.0001609325408935547,0.0001609325408935547,0.00016307830810546875,0.00016188621520996094,0.0001609325408935547,0.00016188621520996094,0.00016117095947265625,0.00016188621520996094,0.00015997886657714844,0.00021195411682128906,0.00024390220642089844,0.00021195411682128906,0.000202178955078125,0.00020194053649902344,0.00020503997802734375,0.0002040863037109375,0.00023293495178222656,0.0002009868621826172,0.000202178955078125,0.0002028942108154297,0.0002028942108154297,0.0002009868621826172,0.00020194053649902344,0.00020003318786621094,0.0002009868621826172,0.00020194053649902344,0.00021004676818847656,0.0001308917999267578
method_logging_w_check,HILBERTB,true,0.0007851123809814453,0.0009839534759521484,0.0015959739685058594,0.001302957534790039,0.0012011528015136719,0.0013911724090576172,0.0013959407806396484,0.0008380413055419922,0.0005490779876708984,0.0005218982696533203,0.0005321502685546875,0.0005090236663818359,0.0005950927734375,0.0005159378051757812,0.0005371570587158203,0.000514984130859375,0.0006279945373535156,0.000514984130859375,0.0005300045013427734,0.0006690025329589844,0.0005240440368652344,0.0005381107330322266,0.0005698204040527344,0.0005161762237548828,0.0005950927734375,0.0005269050598144531,0.0005259513854980469,0.0005190372467041016,0.0006759166717529297,0.0005259513854980469,0.010987997055053711,0.0005178451538085938,0.0005009174346923828,0.0005099773406982422,0.0005130767822265625,0.0005030632019042969,0.0005049705505371094,0.0005049705505371094,0.0005030632019042969,0.0006601810455322266,0.0005011558532714844,0.0004889965057373047,0.0004889965057373047,0.0007739067077636719,0.0005400180816650391,0.00051116943359375,0.0005269050598144531,0.0005128383636474609,0.0005080699920654297,0.0005140304565429688
method_logging_w_check,ARGLINC,false,0.0035958290100097656,0.0032508373260498047,0.0032491683959960938,0.0032439231872558594,0.003242969512939453,0.003242969512939453,0.003242015838623047,0.003245115280151367,0.003256082534790039,0.0032482147216796875,0.0032448768615722656,0.003242969512939453,0.0032401084899902344,0.003242969512939453,0.003242015838623047,0.003242969512939453,0.0032410621643066406,0.003242015838623047,0.0032460689544677734,0.003258943557739258,0.0032529830932617188,0.0032439231872558594,0.0032508373260498047,0.0032460689544677734,0.003242015838623047,0.0032439231872558594,0.0032432079315185547,0.0032439231872558594,0.003239870071411133,0.0032448768615722656,0.003242969512939453,0.003242015838623047,0.0032410621643066406,0.003242015838623047,0.003242969512939453,0.0032410621643066406,0.0032889842987060547,0.003248929977416992,0.003247976303100586,0.003242969512939453,0.0032432079315185547,0.003242969512939453,0.003242015838623047,0.003239154815673828,0.0032389163970947266,0.003242969512939453,0.0032389163970947266,0.003247976303100586,0.0032541751861572266,0.0032510757446289062
method_logging_w_check,ARGLINC,true,0.0037200450897216797,0.0033159255981445312,0.0033528804779052734,0.003329038619995117,0.003365039825439453,0.003384828567504883,0.003345966339111328,0.003416776657104492,0.0033409595489501953,0.0033559799194335938,0.0033359527587890625,0.003322124481201172,0.003412961959838867,0.003371000289916992,0.0033981800079345703,0.003376007080078125,0.0033550262451171875,0.003322124481201172,0.0033190250396728516,0.0033528804779052734,0.00335693359375,0.0033311843872070312,0.0033087730407714844,0.0032930374145507812,0.0033419132232666016,0.0033349990844726562,0.0033321380615234375,0.003304004669189453,0.0032858848571777344,0.0033409595489501953,0.003347158432006836,0.0033180713653564453,0.0033028125762939453,0.003353118896484375,0.003342151641845703,0.003348112106323242,0.0033380985260009766,0.003289937973022461,0.003289937973022461,0.0033469200134277344,0.0033371448516845703,0.0033190250396728516,0.0032911300659179688,0.0032978057861328125,0.003345012664794922,0.0033419132232666016,0.0033109188079833984,0.0032939910888671875,0.0033111572265625,0.0033550262451171875
method_logging_w_check,BROWNAL,false,0.0062160491943359375,0.0065059661865234375,0.00603795051574707,0.006043910980224609,0.006040811538696289,0.006124019622802734,0.00603795051574707,0.006040811538696289,0.006067991256713867,0.0060579776763916016,0.006042003631591797,0.00603485107421875,0.006042957305908203,0.006038188934326172,0.0060329437255859375,0.006044864654541016,0.006036043167114258,0.006031990051269531,0.006043910980224609,0.0060389041900634766,0.006036043167114258,0.006040811538696289,0.006031990051269531,0.0060329437255859375,0.00603795051574707,0.0060329437255859375,0.006039857864379883,0.006042957305908203,0.006031036376953125,0.006036996841430664,0.006042003631591797,0.00603485107421875,0.006031990051269531,0.00603795051574707,0.006040096282958984,0.0060329437255859375,0.006045103073120117,0.0060389041900634766,0.006036996841430664,0.006100893020629883,0.006103038787841797,0.006064176559448242,0.006045818328857422,0.006041049957275391,0.00603485107421875,0.00603795051574707,0.006034135818481445,0.006033182144165039,0.0060520172119140625,0.00603795051574707
method_logging_w_check,BROWNAL,true,0.008414983749389648,0.006287097930908203,0.006332874298095703,0.006319999694824219,0.006261110305786133,0.006376028060913086,0.00639796257019043,0.006343841552734375,0.006376028060913086,0.00628209114074707,0.006335020065307617,0.0063059329986572266,0.006271839141845703,0.006464958190917969,0.00653386116027832,0.0063800811767578125,0.006448030471801758,0.0063250064849853516,0.006383180618286133,0.0062940120697021484,0.006285190582275391,0.006333112716674805,0.006334066390991211,0.00634002685546875,0.006310224533081055,0.006288051605224609,0.006333112716674805,0.0062961578369140625,0.006321907043457031,0.006310939788818359,0.006268024444580078,0.0063610076904296875,0.006295919418334961,0.006295919418334961,0.00639796257019043,0.006266117095947266,0.006384134292602539,0.006349086761474609,0.0064182281494140625,0.006396055221557617,0.006649017333984375,0.0077610015869140625,0.0073931217193603516,0.008577823638916016,0.007401943206787109,0.007482051849365234,0.007487058639526367,0.007730007171630859,0.007837057113647461,0.007275104522705078
